Kode,Judul,Keterangan
1192,Pembibitan Bit (bukan Bit Gula) Dan Bibit Tanaman Pakan Ternak,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan bit (bukan bit gula) dan bibit tanaman pakan ternak."
1193,Pertanian Tanaman Bunga,"Kelompok ini mencakup pertanian tanaman bunga, yang produksinya adalah bunga potong dan kuncup bunga. Tanaman bunga pada kelompok ini misalnya anggrek, anyelir, gerbera/hebras, gladiol, krisan, mawar, melati, sedap malam dan tanaman bunga lainnya. Termasuk tanaman bunga lainnya yang diambil bunganya. Pertanian tanaman bunga yang hasilnya adalah tanaman bunga hidup masuk ke golongan 013"
1194,Pertanian Pembibitan Tanaman Bunga,Kelompok ini mencakup usaha pertanian pembibitan tanaman bunga
1199,Pertanian Tanaman Semusim Lainnya Ytdl,Kelompok ini mencakup pertanian tanaman semusim lainnya yang belum terklasifikasi di tempat lain dan kegiatan pembibitannya.
1210,Pertanian Buah Anggur,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan penyiapan atau pelaksanaan, penanaman, pembibitan, pemeliharaan, pemanenan dan pasca panen buah anggur. Termasuk kegiatan pembibitan dan pembenihan tanaman buah anggur"
1220,Pertanian Buah-buahan Tropis Dan Subtropis,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan penyiapan/pelaksanaan, penanaman, pembibitan, pemeliharaan, pemanenan dan pasca panen buah-buahan tropis dan subtropis, seperti rambutan, alpukat, durian, duku, pisang dan pisang raja, kurma, buah ara, pepaya, jambu biji, jambu air, lengkeng, nangka, nenas, mangga, manggis, sawo, belimbing, salak, sirsak, buah naga dan sejenisnya. Termasuk kegiatan pembibitan dan pembenihan tanaman buat tropis dan subtropis."
1230,Pertanian Buah Jeruk,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan penyiapan/pelaksanaan, penanaman, pembibitan, pemeliharaan, pemanenan dan pasca panen buah jeruk besar dan jeruk keprok atau jeruk siam, seperti jeruk bali, jeruk lemon dan limau, jeruk orange, jeruk keprok, jeruk tangerin, jeruk mandarin dan clementine, dan buah jeruk lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman buah jeruk"
1240,Pertanian Buah Apel Dan Buah Batu (pome And Stone Fruits),"Kelompok ini mencakup usaha pertanian mulai dari kegiatan penyiapan/pelaksanaan, penanaman, pembibitan, pemeliharaan, pemanenan dan pasca panen buah apel dan buah batu, seperti apel, aprikot, cherry, peach dan nectarine, pear dan quince, plum dan sloe, markisa, kepel, terong Belanda dan buah delima, dan buah batu lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman buah apel dan buah batu."
1251,Pertanian Buah Beri,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan penyiapan atau pelaksanaan, penanaman, pembibitan, pemeliharaan, pemanenan dan pasca panen buah beri, seperti blueberry, gooseberry, kiwi, raspberry, strawberry dan beri lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman buah beri."
1252,Pertanian Buah Biji Kacang-kacangan,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan, dan pemanenan tanaman buah biji kacang-kacangan yang dapat dimakan, seperti almond, kacang mede, chestnut, kenari, walnut dan kacang-kacangan yang lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman buah biji kacang-kacangan"
1253,Pertanian Sayuran Tahunan,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan tanaman sayuran tahunan, seperti kluwih atau timbul, sukun, nangka sayur, petai, jengkol, melinjo dan sejenisnya. Kegiatan pembibitan dan pembenihan tanaman sayuran tahunan"
1259,Pertanian Buah Semak Lainnya,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan tanaman buah semak lainnya, termasuk locust beans. Termasuk kegiatan pembibitan dan pembenihan tanaman buah semak lainnya."
1261,Perkebunan Buah Kelapa,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan buah kelapa. Termasuk kegiatan pembibitan dan pembenihan tanaman buah kelapa."
1262,Perkebunan Buah Kelapa Sawit,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan buah kelapa sawit. Termasuk kegiatan pembibitan dan pembenihan tanaman buah kelapa sawit"
1269,Perkebunan Buah Oleaginous Lainnya,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan tanaman buah oleaginous lain, seperti buah zaitun dan lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman buah oleoginous lainnya."
1270,Pertanian Tanaman Untuk Bahan Minuman,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan tanaman untuk bahan minuman, seperti tanaman kopi, teh, mate dan kakao. Termasuk kegiatan pembibitan dan pembenihan tanaman untuk bahan minuman"
1281,Perkebunan Lada,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan lada atau merica (piper spp). Termasuk kegiatan pembibitan dan pembenihan tanaman lada."
1282,Perkebunan Cengkeh,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan cengkeh. Termasuk kegiatan pembibitan dan pembenihan tanaman cengkeh"
1283,Pertanian Cabai,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan, pemanenan dan pasca panen sayuran cabai (capsicum spp), seperti cabai besar, cabai rawit dan paprika. Termasuk kegiatan pembibitan dan pembenihan tanaman cabai"
1284,Perkebunan Tanaman Aromatik/penyegar,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan tanaman perkebunan minyak atsiri, seperti sereh wangi, nilam, menthol, kenanga, ilang-ilang, gandapura, lawang. Termasuk kegiatan pembibitan dan pembenihan tanaman aromatik/penyegar"
1285,Pertanian Tanaman Obat Atau Biofarmaka Rimpang,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan, dan pemanenan tanaman obat atau biofarmaka rimpang (termasuk pula tanaman bahan insektisida dan fungisida dan yang sejenis), seperti jahe, kunyit, temulawak, temugiring, temuireng, temukunci, kencur, lengkuas, lempuyang, dlingo dan sejenisnya. Termasuk kegiatan pembibitan dan pembenihan tanaman obat atau biofarmaka rimpang."
1286,Pertanian Tanaman Obat Atau Biofarmaka Non Rimpang,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan, dan pemanenan tanaman obat atau biofarmaka non rimpang (termasuk pula tanaman bahan insektisida dan fungisida dan yang sejenis), seperti kina, adas, kapulaga, orang-aring, iles-iles, pinang, gambir, lidah buaya, kejibeling, sambiloto, kumis kucing, mengkudu atau pace, mahkota dewa dan sejenisnya. Termasuk kegiatan pembibitan dan pembenihan tanaman obat atau biofarmaka non rimpang."
1289,"Pertanian Tanaman Rempah-rempah, Aromatik/penyegar, Narkotik Dan Obat Lainnya","Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan, dan pemanenan tanaman rempah lainnya, seperti kemiri, panili, kayu manis dan pala. Termasuk kegiatan pembibitan dan pembenihannya"
1291,Perkebunan Karet Dan Tanaman Penghasil Getah Lainnya,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan tanaman karet dan tanaman penghasil getah lainnya, seperti getah perca dan kemenyan. Termasuk pengolahan hasil tanaman karet yang tidak dapat dipisahkan dari kegiatan perkebunan. Termasuk kegiatan pembibitan dan pembenihan tanaman karet dan tanaman penghasil getah lainnya"
1299,Pertanian Cemara Dan Tanaman Tahunan Lainnya,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan pohon cemara, tanaman jarak pagar dan tanaman tahunan lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman cemara dan tanaman tahunan lainnya"
1301,Pertanian Tanaman Hias,"Kelompok ini mencakup pertanian atau budidaya tanaman hias daun dan tanaman hias bunga hidup, seperti bonsai, suplir, kuping gajah, heliconia (pisang-pisangan), dracaena, phylodendrom, monstera, cordyline, anthurium daun, pakis, aglonema, difenbacia, sansifera (lidah mertua), caladium (keladi), palem dan tanaman hias bunga, seperti anggrek, mawar, adenium (kaboja jepang, anthurium bunga, euphorbia, ixora (soka) dan tanaman bunga lainnya. Termasuk penanaman tumbuhan untuk tujuan ornamen dan tanah berumput untuk transplantasi."
1302,Pertanian Pengembangbiakan Tanaman,"Kelompok ini mencakup produksi semua bibit tanaman secara vegetatif termasuk batang stek, potongan dan pembibitan untuk kelangsungan pengembangbiakan tanaman atau membuat batang okulasi tanaman pada keturunannya terpilih yang diokulasi yang pada akhirnya ditanam untuk menghasilkan tanaman. Termasuk kegiatan penanaman tumbuhan untuk ditanam kembali, penanaman tumbuhan hidup untuk umbi-umbian, akar-akaran; pemotongan, stek dan cangkokan; spawn jamur dan kebun bibit tanaman, kecuali kebun bibit tanaman hutan."
1411,Pembibitan Dan Budidaya Sapi Potong,"Kelompok ini mencakup usaha peternakan yang menyelenggarakan pembibitan sapi potong, untuk menghasilkan ternak bibit sapi potong, mani dan mudigah dan peternakan yang menyelenggarakan budidaya sapi potong (termasuk kegiatan penggemukan) untuk menghasilkan sapi bakalan dan sapi potong."
1412,Pembibitan Dan Budidaya Sapi Perah,"Kelompok ini mencakup usaha peternakan yang menyelenggarakan pembibitan sapi perah, untuk menghasilkan ternak bibit sapi perah, mani dan mudigah dan peternakan yang menyelenggarakan budidaya sapi perah untuk menghasilkan susu."
1413,Pembibitan Dan Budidaya Kerbau Potong,"Kelompok ini mencakup usaha peternakan yang menyelenggarakan pembibitan kerbau potong, untuk menghasilkan ternak bibit kerbau potong, mani dan mudigah dan peternakan yang menyelenggarakan budidaya kerbau (termasuk kegiatan penggemukan) untuk menghasilkan kerbau bakalan dan kerbau potong"
1414,Pembibitan Dan Budidaya Kerbau Perah,"Kelompok ini mencakup usaha peternakan yang menyelenggarakan pembibitan kerbau perah, untuk menghasilkan ternak bibit kerbau perah, mani dan mudigah dan peternakan yang menyelenggarakan budidaya kerbau perah untuk menghasilkan susu"
1420,Peternakan Kuda Dan Sejenisnya,"Kelompok ini mencakup usaha peternakan yang menyelenggarakan pembibitan kuda, untuk menghasilkan ternak bibit kuda, mani dan mudigah dan peternakan yang menyelenggarakan budidaya kuda untuk menghasilkan kuda potong, kuda pacu dan kuda tarik."
1430,Peternakan Unta Dan Sejenisnya,Kelompok ini mencakup pembibitan dan budidaya unta dan sejenisnya
1441,Pembibitan Dan Budidaya Domba,"Kelompok ini mencakup usaha peternakan yang menyelenggarakan pembibitan domba, yang menghasilkan ternak bibit domba, mani dan mudigah dan peternakan yang menyelenggarakan budidaya domba (termasuk kegiatan penggemukan) untuk menghasilkan domba potong dan untuk diambil bulunya"
1442,Pembibitan Dan Budidaya Kambing Potong,"Kelompok ini mencakup usaha yang menyelenggarakan pembibitan kambing potong, untuk menghasilkan ternak bibit kambing potong, mani dan mudigah dan peternakan yang menyelenggarakan budidaya kambing (termasuk kegiatan penggemukan) untuk menghasilkan kambing potong."
1443,Pembibitan Dan Budidaya Kambing Perah,"Kelompok ini mencakup usaha peternakan yang menyelenggarakan pembibitan kambing perah, untuk menghasilkan ternak bibit kambing perah, mani dan mudigah dan peternakan yang menyelenggarakan budidaya kambing perah untuk menghasilkan susu"
1450,Peternakan Babi,"Kelompok ini mencakup usaha peternakan yang menyelenggarakan pembibitan ternak babi, untuk menghasilkan ternak bibit babi, mani dan mudigah dan peternakan yang menyelenggarakan budidaya babi untuk menghasilkan babi potong."
1461,Budidaya Ayam Ras Pedaging,Kelompok ini mencakup usaha peternakan yang menyelenggarakan budidaya ayam ras untuk menghasilkan ayam pedaging dan lainnya.
1462,Budidaya Ayam Ras Petelur,Kelompok ini mencakup usaha peternakan yang menyelenggarakan budidaya ayam ras untuk menghasilkan telur konsumsi dan lainnya
1463,Pembibitan Dan Budidaya Ayam Buras,"Kelompok ini mencakup usaha peternakan yang menyelenggarakan pembibitan ayam buras (bukan ras), untuk menghasilkan ternak bibit ayam buras petelur dan atau telur tetas dan peternakan yang menyelenggarakan budidaya ayam buras untuk menghasilkan ayam buras potong, telur konsumsi dan lainnya"
1464,Pembibitan Dan Budidaya Itik Dan Itik Manila,"Kelompok ini mencakup usaha peternakan yang menyelenggarakan pembibitan itik dan/atau itik manila, untuk menghasilkan ternak bibit itik/itik manila dan atau telur tetas dan peternakan yang menyelenggarakan budidaya itik dan/atau itik manila untuk menghasilkan itik potong, telur konsumsi dan lainnya. Termasuk kegiatan pembibitan dan budidaya blengong, yaitu turunan persilangan dari itik dan itik manila."
1465,Pembibitan Dan Budidaya Kalkun,"Kelompok ini mencakup usaha peternakan yang menyelenggarakan pembibitan kalkun, untuk menghasilkan ternak bibit kalkun dan atau telur tetas dan peternakan yang menyelenggarakan budidaya kalkun untuk menghasilkan kalkun potong, telur konsumsi dan lainnya"
1466,Pembibitan Dan Budidaya Burung Puyuh,"Kelompok ini mencakup usaha peternakan yang menyelenggarakan pembibitan burung puyuh, untuk menghasilkan ternak bibit burung puyuh dan atau telur tetas dan peternakan yang menyelenggarakan budidaya burung puyuh untuk menghasilkan burung puyuh potong atau telur konsumsi"
1467,Pembibitan Dan Budidaya Burung Merpati,"Kelompok ini mencakup usaha peternakan yang menyelenggarakan pembibitan burung merpati, untuk menghasilkan ternak bibit burung merpati dan atau telur tetas dan peternakan yang menyelenggarakan budidaya burung merpati untuk menghasilkan burung merpati potong atau diambil bulunya"
1468,Pembibitan Ayam Ras,"Kelompok ini mencakup usaha peternakan yang menyelenggarakan pembibitan ayam ras pedaging dan ayam ras petelur untuk menghasilkan ayam bibit, telur tetas, bibit niaga (final stock) day old chick (DOC) dari ayam ras pedaging dan ayam ras petelur"
1469,Pembibitan Dan Budidaya Ternak Unggas Lainnya,"Kelompok ini mencakup usaha peternakan yang menyelenggarakan pembibitan ternak unggas lainnya, seperti entok, angsa dan unggas lainnya untuk menghasilkan bibit dan atau telur tetas dan peternakan yang menyelenggarakan budidaya unggas tersebut untuk menghasilkan daging, bulu dan telur"
1491,Pembibitan Dan Budidaya Burung Unta,"Kelompok ini mencakup usaha peternakan yang menyelenggarakan pembibitan burung unta, untuk menghasilkan ternak bibit burung unta dan atau telur tetas dan peternakan yang menyelenggarakan budidaya burung unta konsumsi untuk menghasilkan burung unta potong, telur dan atau lainnya"
1492,Pengusahaan Kokon/kepompong Ulat Sutera,"Kelompok ini mencakup usaha penanaman, pemeliharaan, pemungutan hasil, pengolahan dan pemasaran kokon/kepompong ulat sutera"
1493,Pembibitan Dan Budidaya Lebah,"Kelompok ini mencakup usaha peternakan yang menyelenggarakan pembibitan dan budidaya lebah, termasuk pengusahaan madu."
1494,Pembibitan Dan Budidaya Rusa,"Kelompok ini mencakup usaha peternakan yang menyelenggarakan pembibitan dan budidaya ternak rusa/kijang, baik untuk menghasilkan bibit dan daging, kulit dan lainnya"
1495,Pembibitan Dan Budidaya Kelinci,"Kelompok ini mencakup usaha peternakan yang menyelenggarakan pembibitan dan budidaya ternak kelinci, baik untuk menghasilkan bibit dan daging, kulit dan lainnya"
1496,Pembibitan Dan Budidaya Cacing,"Kelompok ini mencakup usaha peternakan yang menyelenggarakan pembibitan dan budidaya ternak cacing, baik untuk menghasilkan bibit dan daging, dan lainnya"
1499,Pembibitan Dan Budidaya Aneka Ternak Lainnya,"Kelompok ini mencakup usaha peternakan yang menyelenggarakan pembibitan aneka ternak, seperti marmut, anjing, kucing, kera/primata lainnya, ulat, jangkrik, burung walet dan aneka ternak lainnya, untuk menghasilkan bibit dan peternakan yang menyelenggarakan budidaya aneka ternak untuk menghasilkan daging, kulit dan lainnya"
1611,Jasa Pengolahan Lahan,"Kelompok ini mencakup usaha pengolahan lahan pertanian tanaman pangan dan perkebunan atas dasar balas jasa (fee) atau kontrak dengan tujuan untuk persiapan penanaman, baik di lahan sawah maupun di lahan kering."
1612,"Jasa Pemupukan, Penanaman Bibit/benih Dan Pengendalian Hama Dan Gulma","Kelompok ini mencakup usaha yang bergerak dalam pemupukan lahan pertanian, penanaman bibit/benih dan pengendalian hama penyakit dan tanaman pengganggu (gulma) tanaman pangan dan perkebunan atas dasar balas jasa (fee) atau kontrak"
1613,Jasa Pemanenan,Kelompok ini mencakup usaha pemanenan tanaman atas dasar balas jasa (fee) atau kontrak
1614,Jasa Penyemprotan Dan Penyerbukan Melalui Udara,Kelompok ini mencakup usaha penyemprotan dan penyerbukan melalui udara dengan pesawat udara khusus berdasarkan keadaan tertentu.
